Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
0F,BE	r16	rm8,Signed			RM	OperandSizeOverride		V,V
0F,BE	r32	rm8,Signed			RM			V,V
0F,BE	r64	rm8,Signed			RM	REX.W		V,NE
0F,BF	r32	rm16,Signed			RM			V,V
0F,BF	r64	rm16,Signed			RM	REX.W		V,NE
63	r16	rm16,Signed			RM	OperandSizeOverride		V,NE
63	r32	rm32,Signed			RM			V,NE
63	r64	rm32,Signed			RM	REX.W		V,NE
