Opcode	Operand1	Operand2	Operand3	Operand4	OperandEncoding	Extra	ForcedPrefix	Support
EA	ptr16:16				S	OperandSizeOverride		I,V
EA	ptr16:32				S			I,V
FF/5	m16:16				M	OperandSizeOverride		V,V
FF/5	m16:32				M			V,V
FF/5	m16:64				M	REX.W		V,NE
