Opcode	Operand1	Operand2	Operand3	Operand4	Modifier
08	Eb	Gb			/r
09	Ev	Gv			/r
0A	Gb	Eb			/r
0B	Gv	Ev			/r
0C	$al	Ib			
0D	$rax	Iz			
80	Eb	Ib			/1
81	Ev	Iz			/1
82	Eb	Ib			/1
83	Ev	Ib			/1
